Date,srad,tmmx,tmmn,Vpar,tdew,rmax,rmin,vs,Rain,ETref,MorP
2025-06-06,23.9129082,26.022222222222226,1.4111111111111108,,2.4277777777777763,88.6,21.66,1.9356832,0.0,5.08,P
2025-06-07,29.359935,28.88888888888889,6.211111111111111,,5.088888888888887,81.9,24.12,2.90576,0.0,6.604,P
2025-06-08,28.75871052,30.777777777777782,8.211111111111112,,7.105555555555555,75.83,22.07,1.7747488,0.0,6.095999999999999,P
2025-06-09,29.35072404,31.72222222222222,6.666666666666667,,7.194444444444446,90.1,20.48,1.8149823999999999,0.0,6.35,P
2025-06-10,24.521668920000003,32.22222222222222,4.172222222222222,,6.816666666666669,86.4,19.85,1.966976,0.0,5.842,P
2025-06-11,23.670492480000004,28.722222222222225,11.861111111111112,,10.1,78.98,30.97,2.4810719999999997,0.0,5.588,P
2025-06-12,22.60955736,29.777777777777775,5.999999999999999,,8.894444444444444,94.5,23.78,1.6495776,0.0,5.08,P
2025-06-13,29.144314800000004,29.722222222222225,4.777777777777779,,8.399999999999999,93.6,27.96,1.6138143999999999,0.0,5.842,P
2025-06-14,25.873586640000003,27.944444444444443,6.311111111111111,,6.6833333333333345,90.7,28.33,2.5794208,0.0,5.842,P
2025-06-15,26.97513372,29.94444444444445,4.33888888888889,,5.944444444444446,91.6,21.86,1.6898111999999998,0.0,5.842,P
2025-06-16,24.710074920000004,30.888888888888886,4.794444444444446,,4.216666666666669,87.8,16.9,1.7300448,0.0,5.842,P
2025-06-17,29.37291408,28.22222222222222,9.661111111111111,,4.622222222222223,76.16,20.09,3.1203392,0.0,6.858,P
2025-06-18,29.0480184,33.05555555555556,5.5777777777777775,,5.5444444444444425,86.1,17.08,1.5154656,0.0,6.35,P
2025-06-19,24.261249960000004,32.44444444444445,7.088888888888888,,6.877777777777779,85.3,21.99,2.2173184,0.0,6.35,P
2025-06-20,23.941797120000004,27.666666666666668,9.622222222222224,,4.483333333333333,58.15,23.43,6.5178432,0.0,7.874,P
2025-06-21,21.612261600000004,16.97222222222222,7.477777777777779,,-0.0611111111111108,62.55,34.04,4.4614592,0.0,4.826,P
2025-06-22,23.402118600000005,17.755555555555556,4.083333333333334,,0.033333333333334596,74.98,29.3,3.4109152,0.0,4.571999999999999,P
2025-06-23,29.321835120000003,23.68888888888889,-1.3944444444444455,,-0.22777777777777786,92.6,19.02,1.4707616,0.0,5.08,P
2025-06-24,23.31963864,27.11111111111111,0.5777777777777773,,1.4833333333333343,89.2,17.07,1.542288,0.0,4.826,P
2025-06-25,28.6084044,30.111111111111114,1.93888888888889,,1.6000000000000014,90.8,10.35,1.4171167999999998,0.0,5.842,P
2025-06-26,26.46811224,30.777777777777782,5.105555555555554,,4.500000000000001,83.2,20.56,2.0027392,0.0,6.095999999999999,P
2025-06-27,28.840353120000003,30.111111111111114,5.466666666666669,,6.983333333333333,89.9,24.37,2.2217887999999997,0.0,6.35,P
2025-06-28,28.93162536,29.66666666666667,14.905555555555555,,7.033333333333331,53.92,25.98,3.5584384,0.0,7.619999999999999,P
2025-06-29,29.60611884,29.722222222222225,11.183333333333335,,6.005555555555557,64.27,20.88,2.2888448,0.0,6.604,P
2025-06-30,27.33436116,35.38888888888889,4.705555555555555,,6.1222222222222245,89.8,14.87,1.0594848000000001,0.0,5.842,P
2025-07-01,14.55792228,34.38888888888889,10.177777777777779,,9.649999999999999,82.3,22.2,1.34112,0.0,4.571999999999999,P
2025-07-02,16.01785944,33.11111111111111,15.683333333333332,,10.1,64.1,20.48,1.8418048,0.0,5.08,P
